public_date,port_me,_FREQ_,mom12m_Mean,hxz_abr_Mean,hxz_sue_Mean,hxz_re_Mean,bm_Mean,ep_Mean,cfp_Mean,sp_Mean,agr_Mean,ni_Mean,acc_Mean,op_Mean,roe_Mean,seas1a_Mean,adm_Mean,rdm_Mean,me_Mean,svar_Mean,beta_Mean,mom1m_Mean
06-30-1976,6,393,0.3372480571,0.0004876913,0.0747765307,-0.01032998,0.0013309031,0.0001100679,0.0001672862,0.0039078563,0.0842677938,0.0127472462,0.0065193934,0.0304721005,0.0309081947,0.0763229157,0.0000767058,,50014.065263,0.0005401075,1.3664231189,-0.008765312
06-30-1976,7,393,0.2938823874,0.0009140011,0.052339075,-0.00153713,0.0011644184,0.000118854,0.000173892,0.003220305,0.0991302368,0.0192638121,0.006604437,0.0201214108,0.035374681,0.0705859802,0.0000619302,,98391.298208,0.0004462613,1.4159520954,-0.012870185
06-30-1976,8,393,0.248932425,0.0010401665,0.0442102545,-0.004937619,0.0010086386,0.0001103088,0.0001674267,0.0024703211,0.1042465424,0.0312004365,0.0057178343,0.0735397877,0.0363948353,0.0642849927,0.0000501685,,255318.32881,0.0003420428,1.3426588226,-0.015879852
06-30-1976,9,393,0.1877691679,0.0001176857,0.0512948788,-0.000045381,0.0006995871,0.0000849803,0.0001392213,0.0014862832,0.1130067831,0.0223869838,0.0053347659,0.2713381058,0.0405214596,0.0559221644,0.000030926,,8581469.5373,0.0001849544,1.4782296605,-0.003024116
07-31-1976,0,393,0.0485659399,-0.004534246,0.0776877719,,0.0024000036,-0.000129419,-0.00002609,0.0098605893,-0.062590277,-0.003879942,-0.010802224,-1.146655851,-0.010958487,0.0236865108,0.0001514146,,1766.3078245,0.0017325373,0.9187272081,-0.012177826
07-31-1976,1,393,0.2036109024,0.0020688323,0.1286542475,,0.002025643,0.00002339,0.0001928529,0.008815345,0.0192384634,-0.006328274,0.0033444342,-0.595028216,0.0114752754,0.0221014976,0.0001231294,,3714.2784472,0.0011329476,1.1081537215,-0.002906903
07-31-1976,2,393,0.2500444912,0.0005355858,0.114142124,,0.0018115967,0.0000582122,0.0001435826,0.0071419209,0.0007991549,0.0001738765,-0.001208365,-0.218147609,0.0171293694,0.0155599577,0.000099431,,6594.3993516,0.0010841085,1.094874023,0.005243601
07-31-1976,3,393,0.2424582766,0.0014782632,0.1149501731,,0.0016880513,0.0000986769,0.0001852455,0.0071477195,0.046918089,-0.002921184,0.0047698077,-0.289844121,0.0186321389,0.0154965773,0.0001023209,,10587.028057,0.0008279472,0.9439450261,0.030998122
07-31-1976,4,393,0.2433415539,-0.000777833,0.1056075717,,0.0016234399,0.0000914429,0.0001608184,0.0058915395,0.0354938048,0.0030561437,0.0037996914,-0.530870084,0.0248119988,-0.00221839,0.0000819804,,16856.333102,0.0007094195,1.1805285726,0.0267866012
07-31-1976,5,392,0.2287490081,0.0016443561,0.0819956286,,0.0013762837,0.0000998679,0.000184587,0.005173082,0.0846309693,0.0122462851,0.0062736101,-0.380358379,0.0259617021,-0.021184297,0.0000904339,,28209.486258,0.0006016679,1.3769153442,0.0308898104
07-31-1976,6,393,0.2118047854,0.0006571019,0.0843886281,-0.066940641,0.0013274392,0.0001145827,0.0001716404,0.0038249837,0.0784116962,0.0121216273,0.005602812,0.0069883717,0.0303361464,-0.031108285,0.0000743123,,49624.906837,0.00049794,1.3485847141,0.0367857692
07-31-1976,7,393,0.2030523221,0.0004246774,0.053854687,0.0135481517,0.0011608346,0.0001207335,0.0001742247,0.0032032287,0.0991020242,0.0162978577,0.0060749517,-0.03836565,0.0347908609,-0.035481795,0.0000651474,,98212.335854,0.0003983862,1.4689234568,0.0530126437
07-31-1976,8,393,0.1560254541,0.0009979685,0.0426820499,-0.005547871,0.0010151267,0.0001114934,0.000169423,0.0025208808,0.1034195946,0.0311504052,0.0060971704,0.0584705791,0.0359010584,-0.047804703,0.0000516785,,255166.70184,0.0003102184,1.2640678365,0.0569039828
07-31-1976,9,393,0.1175971152,0.0001911689,0.0476723969,-0.000607861,0.0007078677,0.0000860379,0.0001400343,0.0015051717,0.1139833636,0.0224651875,0.0055439485,0.2640236449,0.03912997,-0.061220466,0.000031715,,8542298.4366,0.0001677869,1.4438370832,0.0483866654
08-31-1976,0,393,0.0036460461,-0.004674155,0.0647285205,,0.00262977,-0.000162867,-0.000050862,0.0102926774,-0.072695307,-0.004434449,-0.007051516,-0.900131387,-0.013695462,-0.054930964,0.0001607138,,1720.4607369,0.001747959,0.817510756,-0.018949158
08-31-1976,1,393,0.20274425,0.0016448369,0.1396388397,,0.0020027081,0.0000315221,0.0001821189,0.0090032263,0.0179612072,-0.004692791,0.0038912657,-0.669558188,0.0108936933,-0.065978754,0.0001187682,,3601.0502565,0.0012694619,0.9696988711,0.0045474047
08-31-1976,2,392,0.2219776752,0.00090748,0.116275449,,0.0019761169,0.0000389323,0.0001375436,0.0077678161,-0.007760983,0.0001666115,0.0003350745,-0.231485148,0.0163525797,-0.06531547,0.0001040586,,6350.5242436,0.0009877118,1.0004921113,0.0043825067
08-31-1976,3,393,0.2652972474,0.0015125798,0.1168845862,,0.0017123511,0.0001112843,0.0001917801,0.0070391274,0.0558757855,-0.000708368,0.0029843731,-0.389952522,0.0192386543,-0.057272854,0.0000977316,,10241.459648,0.0008054022,0.9535272692,-0.007647888
08-31-1976,4,393,0.256854077,0.0004759033,0.0936474588,,0.0016309002,0.0001005532,0.0001783574,0.0062156339,0.0411763563,0.0023863673,0.0047898747,-0.518345689,0.0250422184,-0.06697528,0.0000959357,,16237.533396,0.0006738673,1.1107167795,-0.00314908
08-31-1976,5,392,0.2869945754,0.0015845288,0.0940310708,,0.0014364324,0.0001018138,0.000184259,0.0055178697,0.0890424797,0.0145079871,0.0065485798,-0.420242864,0.0280447255,-0.059812417,0.0001007886,,27511.533876,0.0005687486,1.3343221585,0.0034708418
08-31-1976,6,393,0.3043469953,0.0010026507,0.0823951027,-0.060992393,0.0013600463,0.0001159882,0.0001754571,0.0037463005,0.0859766432,0.0126058802,0.0063710577,-0.030137463,0.0307730969,-0.04340558,0.0000737262,,48287.420382,0.0004231098,1.2688714672,0.0042778534
