public_date,port_svar,_FREQ_,mom12m_Mean,hxz_abr_Mean,hxz_sue_Mean,hxz_re_Mean,bm_Mean,ep_Mean,cfp_Mean,sp_Mean,agr_Mean,ni_Mean,acc_Mean,op_Mean,roe_Mean,seas1a_Mean,adm_Mean,rdm_Mean,me_Mean,svar_Mean,beta_Mean,mom1m_Mean
07-31-1976,9,385,0.203869286,0.000686873,0.1098423925,,0.0014640606,-0.000050281,0.0000856144,0.0063393085,0.0185662902,0.0031536498,-0.001545545,0.032586668,0.0104524439,-0.005932302,0.0001052831,,28075.594746,0.0027986419,1.4923135858,0.0527557009
08-31-1976,0,385,0.265680047,-0.000219692,0.0236767147,0.0000968341,0.0007754092,0.0000930433,0.0001523848,0.0013067061,0.1018272067,0.030566901,0.0050385919,0.2298358497,0.0387364121,-0.021802804,0.0000335502,,17320144.72,0.0000659493,1.1879996665,0.0043501907
08-31-1976,1,384,0.20150896,0.00082516,0.0326604124,-0.001745593,0.0007776284,0.0000917918,0.0001482096,0.0015817953,0.0963812968,0.0283273627,0.0041896102,0.3159379912,0.0358444788,-0.005595865,0.000032766,,3796741.1188,0.0001257906,1.3098263051,-0.010480565
08-31-1976,2,384,0.2639704145,0.0016495172,0.0962687381,-0.004916771,0.0007819517,0.0000912526,0.0001478245,0.0020032588,0.1472083998,0.0210403921,0.0067277441,0.248681478,0.0407355449,-0.019925651,0.0000397323,,3780873.8912,0.0001823757,1.5493515916,0.0008732446
08-31-1976,3,384,0.2308171499,0.0007324761,0.0401025251,0.0218999351,0.0007119503,0.000089652,0.0001221269,0.0018707759,0.1048037778,0.0175715691,0.0081704064,0.287085292,0.0439341074,-0.028955852,0.0000326973,,1871483.6262,0.000247761,1.383362509,-0.004758519
08-31-1976,4,469,0.2397034859,0.002800243,0.0450762104,-0.00213211,0.0008398921,0.0000937894,0.0001377781,0.0021904502,0.1261641412,0.0142732824,0.0071398275,0.2605596393,0.0364109078,-0.02027936,0.0000359443,,1724537.7132,0.0003223933,1.62762567,-0.011295828
08-31-1976,5,384,0.2579226144,0.0007326563,0.0576625115,-0.02932089,0.0010258905,0.0001052573,0.0001537773,0.0030519057,0.0989029193,0.0167466613,0.009472516,-0.035559633,0.0345606453,-0.039161255,0.000059989,,375231.61829,0.0004321605,1.7033944292,-0.020136749
08-31-1976,6,384,0.4254885573,-0.000065175,0.1263448633,-0.053553097,0.00110842,0.0000927559,0.0001651268,0.0038592449,0.1219143208,0.0110552081,0.0010690305,-0.421486071,0.041036453,-0.057748172,0.0000777314,,378968.41972,0.0005777727,1.815825278,0.0163774317
08-31-1976,7,384,0.3496934684,-0.001642739,0.0783842489,,0.0010813197,0.0000779136,0.0001704079,0.0033619045,0.1236439697,0.0070026872,0.009390849,-0.146955603,0.0296735318,-0.041859471,0.0000524313,,137247.93159,0.0008174115,2.0773427897,-0.003560762
08-31-1976,8,384,0.3906987598,-0.003435517,0.1345211611,-0.002389544,0.001334951,0.0000688582,0.000140241,0.0049236718,0.0991872409,0.0100265395,0.0036987601,-0.104703584,0.0266576119,-0.055033277,0.0001095277,,62510.691297,0.0012298979,1.6622222408,0.0091486355
08-31-1976,9,385,0.201311546,0.0018294231,0.1176025761,,0.0015930428,-0.000069882,0.000085007,0.0061690129,-0.011916071,0.0045563093,-0.000754966,-0.0435161,0.002397586,-0.095284315,0.000106765,,28623.089135,0.0027500917,1.2341193281,0.0238565175
09-30-1976,0,385,0.2953635306,0.0007685263,0.0218924514,0.0001833285,0.0007978478,0.0000921712,0.0001516919,0.0012809986,0.1029109784,0.0305962128,0.0061878518,0.273952032,0.0381823744,-0.010672719,0.0000343438,,16521161.216,0.0000622267,1.1982785957,0.0169398309
09-30-1976,1,384,0.2309002113,0.0009806237,0.0271790419,0.0003635715,0.0007866501,0.0000969421,0.0001522227,0.0017374248,0.1123562219,0.0220316813,0.004170844,0.3978676509,0.0372014377,-0.029448666,0.0000349108,,5369592.3067,0.0001157972,1.2570992478,0.0039965893
09-30-1976,2,384,0.2414992828,0.001097295,0.0654590101,-0.00037464,0.0006897962,0.0000908572,0.0001407673,0.0017278196,0.1173499613,0.0217848026,0.0062676324,0.3791291286,0.0464279966,-0.046719979,0.0000286477,,5232507.9342,0.0001753337,1.6978735571,0.0007310763
09-30-1976,3,384,0.2842362134,0.0012695001,0.0378532824,0.0014097929,0.0008474043,0.0001048342,0.000143993,0.0020984078,0.1496549967,0.0188233101,0.0062707141,0.273396284,0.0414113167,-0.049129184,0.0000433795,,1022643.3756,0.0002405969,1.5653857915,-0.010308102
09-30-1976,4,467,0.2649059521,0.0017071454,0.0490103558,-0.01207889,0.0008341768,0.0000948245,0.0001377439,0.0023446875,0.1164594411,0.026769938,0.0064344102,0.167541391,0.0422481909,-0.04545714,0.0000384875,,1699242.9015,0.0003190929,1.5739749227,-0.017530562
09-30-1976,5,384,0.4036032109,0.0014895028,0.0777372602,0.0001903365,0.0009313614,0.0001034262,0.0001485755,0.0027053122,0.1375485414,0.0156126904,0.00622153,0.131700007,0.0471550062,-0.044710232,0.0000611285,,382207.97611,0.0004325248,1.953910632,-0.015891214
