public_date,port_beta,_FREQ_,mom12m_Mean,hxz_abr_Mean,hxz_sue_Mean,hxz_re_Mean,bm_Mean,ep_Mean,cfp_Mean,sp_Mean,agr_Mean,ni_Mean,acc_Mean,op_Mean,roe_Mean,seas1a_Mean,adm_Mean,rdm_Mean,me_Mean,svar_Mean,beta_Mean,mom1m_Mean
02-28-2018,9,319,0.2936308525,-0.002743499,0.015934351,0.0001733035,0.0005601673,0.00003551,0.0000829739,0.0008757209,0.1137963753,0.0129698316,-0.001988849,0.2841954902,0.0531951949,0.0402950163,0.00001555,0.0062473482,76994804.984,0.0003273723,2.7540770518,0.021640325
03-31-2018,0,318,0.5886274526,0.0117855608,-0.014180523,0.0001587596,0.0002392714,-0.000020431,9.3090331E-6,0.0004056402,0.3237796239,0.0727547265,0.0155019737,0.0600799079,-0.012955339,0.0450946078,9.5691699E-6,0.0451488867,38103834.839,0.0009406969,-4.789067139,0.0104281497
03-31-2018,1,318,0.3819516755,0.0065929112,0.0293408608,0.0008606304,0.0004021288,0.0000262221,0.0000472755,0.0005905023,0.2412658591,0.0053887041,0.0069807546,0.4805135472,0.0111511647,0.0015229555,0.0000101197,0.0388412051,265464259.93,0.0004465172,-2.363470406,0.0014329535
03-31-2018,2,318,0.3026925278,0.0033866918,0.0142494045,0.0010689999,0.0003877171,0.000043342,0.0000720857,0.0005536598,0.0968019125,-0.014166035,-0.013004908,0.5747889317,0.1356221391,-0.009790713,0.0000145066,0.0379949547,65252942.62,0.0004420659,-1.568713354,-0.004746932
03-31-2018,3,318,0.2605754596,0.0030443503,0.0062389309,0.0006874105,0.0004324709,0.0000428949,0.0000735222,0.0004791098,0.1184141021,-0.005973121,0.0058258837,0.3425465792,0.0194274029,-0.012571671,7.5886087E-6,0.022286888,105045746.52,0.0003235172,-0.966943564,-0.0354399
03-31-2018,4,454,0.2535311294,0.001468782,0.0424617122,0.0005637541,0.0003101662,0.0000388212,0.000070537,0.0005744543,0.1016787228,-0.006950165,0.004258806,0.4158005466,0.0481365225,0.0113754944,0.0000120081,0.0276169219,108638607.42,0.0003657126,-0.373596926,-0.034788449
03-31-2018,5,317,0.3493093824,0.0036676362,0.0250257326,0.0008711108,0.0003047838,0.0000460167,0.0000642348,0.0004244838,0.1334556312,-0.003204075,0.0053196088,0.5368911361,0.0642740008,0.0169986274,5.7046791E-6,0.0204213864,340578766.22,0.0003841583,-0.008336494,-0.006852136
03-31-2018,6,318,0.2387974343,-0.00162507,0.0507325281,0.0008384043,0.0003747196,0.0000423128,0.0000700216,0.0005968469,0.1504995968,0.0115287904,0.0050866819,0.3762882551,0.0505849466,0.0035927711,0.0000180271,0.0250122235,53572298.355,0.0003195142,0.4545740697,-0.053059441
03-31-2018,7,318,0.237273939,0.0000147172,0.0268931398,0.0009823826,0.0004053574,0.0000507104,0.0000852928,0.000540847,0.0993087108,0.0017342415,0.0025243433,0.3700976565,0.0629275978,0.0075315042,0.0000112652,0.0129566441,112545577.25,0.0003091949,0.9139351094,-0.051512427
03-31-2018,8,318,0.1413927473,-0.003777646,0.0236268392,0.0005716599,0.0003397077,0.0000474807,0.0000730225,0.0004699278,0.0823173832,0.0007239733,-0.000458266,0.443588788,0.0526633284,0.0047386935,0.0000157243,0.0217300887,116633984.57,0.0002413294,1.5416590344,-0.069803329
