public_date,port_me,_FREQ_,rank_mom12m_Mean,rank_hxz_abr_Mean,rank_hxz_sue_Mean,rank_hxz_re_Mean,rank_bm_Mean,rank_ep_Mean,rank_cfp_Mean,rank_sp_Mean,rank_agr_Mean,rank_ni_Mean,rank_acc_Mean,rank_op_Mean,rank_roe_Mean,rank_seas1a_Mean,rank_adm_Mean,rank_rdm_Mean,rank_me_Mean,rank_svar_Mean,rank_beta_Mean,rank_mom1m_Mean
07-31-1976,6,393,0.0334349372,0.0073058671,-0.007706689,-0.003626207,0.0091374498,0.0796982883,0.0152100575,-0.028609661,-0.007809195,-0.011970015,0.0172492222,0.0262698172,0.0199099509,-0.065876683,-0.051672641,0,0.3083912252,-0.096741111,0.0513315755,0.0422917174
07-31-1976,7,393,0.0443215368,0.0063852675,-0.024697752,0.0043884182,-0.089058524,0.0516082071,0.020653039,-0.149140852,0.0413064306,0.0524790198,0.0043115429,0.0380272394,0.0833202643,-0.081263064,-0.028630079,0,0.5123705014,-0.199730706,0.0689789147,0.1648946105
07-31-1976,8,393,-0.029735806,0.0313163245,-0.074412222,0.0002891521,-0.253039095,-0.033841805,-0.00420872,-0.300469581,0.0898815834,0.1538829136,0.0230996915,0.0731282452,0.1737865717,-0.160656755,-0.048228466,0,0.7176913265,-0.316877622,0.0347592928,0.2107986376
07-31-1976,9,393,-0.07600795,-0.033064736,-0.034855023,0.0109125233,-0.548841545,-0.315113046,-0.152731471,-0.547538241,0.2014133341,0.2631187751,0.0185720845,0.2131210358,0.2811055829,-0.245417662,-0.118064122,0,0.9550289554,-0.613268343,0.1257633241,0.1844785764
08-31-1976,0,393,-0.28129115,-0.046439408,0.0005156218,0,0.1154258281,-0.08939624,-0.051822153,0.1118903826,-0.055967176,-0.076452402,-0.026013955,-0.048770393,-0.123839403,-0.029048805,0.1160012733,0,-0.879265977,0.3955722163,-0.0666479,-0.106207898
08-31-1976,1,393,-0.093803087,0.0072238966,0.0290094664,0,0.1290171324,-0.027332227,0.0119236606,0.1567170917,-0.048462666,-0.10013213,-0.010191259,-0.037990369,-0.115621961,-0.098448517,0.0162235937,0,-0.689407011,0.3124328209,-0.057803012,0.0002869131
08-31-1976,2,392,-0.046451776,0.0077865175,0.0230532483,0,0.1947848715,0.01838091,0.0201964023,0.1876578448,-0.078212866,-0.120280697,-0.036025486,-0.047293095,-0.085318679,-0.099638164,0.0167865103,0,-0.491493589,0.2060669185,-0.049303543,-0.016076645
08-31-1976,3,393,0.0159251415,0.0204977975,0.0432807494,0,0.1361016171,0.0948764502,0.0377755391,0.1804904847,-0.024957729,-0.101839586,-0.013092457,-0.03013411,-0.082021242,-0.061240285,0.0264909507,0,-0.292170359,0.1591547101,-0.06616568,-0.060382815
08-31-1976,4,393,0.0047002056,-0.020054962,0.0433215786,0,0.1192630568,0.0780669146,0.0209972427,0.1715089089,-0.045700557,-0.062818231,0.0004115453,-0.030482069,-0.049447733,-0.126604019,0.0332525213,0,-0.091982275,0.0723988194,-0.00502304,-0.003469726
08-31-1976,5,392,0.0710991206,0.0087043598,0.0437242739,0,0.0404073312,0.0252436394,0.0518255757,0.0855636889,0.000043858,0.0120048952,0.0227256757,-0.025073206,-0.012217199,-0.056487892,-0.016814246,0,0.1094363837,-0.016694375,0.0425957471,0.0302722348
